
ligne,position,substring,pattern,valeur,chiffres,sum
16744qgmmpxxn3nine,2,744qgmmpxxn3nine,7,7,1 6 7,10847
16744qgmmpxxn3nine,3,44qgmmpxxn3nine,4,4,1 6 7 4,10847
16744qgmmpxxn3nine,4,4qgmmpxxn3nine,4,4,1 6 7 4 4,10847
16744qgmmpxxn3nine,13,3nine,3,3,1 6 7 4 4 3,10847
16744qgmmpxxn3nine,14,nine,nine,9,1 6 7 4 4 3 9,10847
xq1eight,2,1eight,1,1,1,10866
xq1eight,3,eight,eight,8,1 8,10866
sgrfourc6grhd,3,fourc6grhd,four,4,4,10884
sgrfourc6grhd,8,6grhd,6,6,4 6,10884
9three944six5rnzj,0,9three944six5rnzj,9,9,9,10930
9three944six5rnzj,1,three944six5rnzj,three,3,9 3,10930
9three944six5rnzj,6,944six5rnzj,9,9,9 3 9,10930
9three944six5rnzj,7,44six5rnzj,4,4,9 3 9 4,10930
9three944six5rnzj,8,4six5rnzj,4,4,9 3 9 4 4,10930
9three944six5rnzj,9,six5rnzj,six,6,9 3 9 4 4 6,10930
9three944six5rnzj,12,5rnzj,5,5,9 3 9 4 4 6 5,10930
ztjfqjzzsq6sixsevenseventwosbztgl32,10,6sixsevenseventwosbztgl32,6,6,6,11025
ztjfqjzzsq6sixsevenseventwosbztgl32,11,sixsevenseventwosbztgl32,six,6,6 6,11025
ztjfqjzzsq6sixsevenseventwosbztgl32,14,sevenseventwosbztgl32,seven,7,6 6 7,11025
ztjfqjzzsq6sixsevenseventwosbztgl32,19,seventwosbztgl32,seven,7,6 6 7 7,11025
ztjfqjzzsq6sixsevenseventwosbztgl32,24,twosbztgl32,two,2,6 6 7 7 2,11025
ztjfqjzzsq6sixsevenseventwosbztgl32,33,32,3,3,6 6 7 7 2 3,11025
ztjfqjzzsq6sixsevenseventwosbztgl32,34,2,2,2,6 6 7 7 2 3 2,11025
eightztmtzkmjdvjxhrnbrph3dsdmkrndd8zflhmtpx,0,eightztmtzkmjdvjxhrnbrph3dsdmkrndd8zflhmtpx,eight,8,8,11087
eightztmtzkmjdvjxhrnbrph3dsdmkrndd8zflhmtpx,24,3dsdmkrndd8zflhmtpx,3,3,8 3,11087
eightztmtzkmjdvjxhrnbrph3dsdmkrndd8zflhmtpx,34,8zflhmtpx,8,8,8 3 8,11087
two3onevgrjshfl5mkdxmdkkrtthreesix,0,two3onevgrjshfl5mkdxmdkkrtthreesix,two,2,2,11175
two3onevgrjshfl5mkdxmdkkrtthreesix,3,3onevgrjshfl5mkdxmdkkrtthreesix,3,3,2 3,11175
two3onevgrjshfl5mkdxmdkkrtthreesix,4,onevgrjshfl5mkdxmdkkrtthreesix,one,1,2 3 1,11175
two3onevgrjshfl5mkdxmdkkrtthreesix,15,5mkdxmdkkrtthreesix,5,5,2 3 1 5,11175
two3onevgrjshfl5mkdxmdkkrtthreesix,26,threesix,three,3,2 3 1 5 3,11175
two3onevgrjshfl5mkdxmdkkrtthreesix,31,six,six,6,2 3 1 5 3 6,11175
srkgcdmrpd5,10,5,5,5,5,11201
4ltngqjpt2five,0,4ltngqjpt2five,4,4,4,11256
4ltngqjpt2five,9,2five,2,2,4 2,11256
4ltngqjpt2five,10,five,five,5,4 2 5,11256
seventvxkdvqlbd3eightpmjpk,0,seventvxkdvqlbd3eightpmjpk,seven,7,7,11301
seventvxkdvqlbd3eightpmjpk,15,3eightpmjpk,3,3,7 3,11301
seventvxkdvqlbd3eightpmjpk,16,eightpmjpk,eight,8,7 3 8,11301
3three5,0,3three5,3,3,3,11379
3three5,1,three5,three,3,3 3,11379
3three5,6,5,5,5,3 3 5,11379
nine5d,0,nine5d,nine,9,9,11414
nine5d,4,5d,5,5,9 5,11414
mrrbl8,5,8,8,8,8,11509
frvtwojcvppjbtpp3kpzzf,3,twojcvppjbtpp3kpzzf,two,2,2,11597
frvtwojcvppjbtpp3kpzzf,16,3kpzzf,3,3,2 3,11597
eight4oneonefour,0,eight4oneonefour,eight,8,8,11620
eight4oneonefour,5,4oneonefour,4,4,8 4,11620
eight4oneonefour,6,oneonefour,one,1,8 4 1,11620
eight4oneonefour,9,onefour,one,1,8 4 1 1,11620
eight4oneonefour,12,four,four,4,8 4 1 1 4,11620
nineptjfjfourthree1six,0,nineptjfjfourthree1six,nine,9,9,11704
nineptjfjfourthree1six,9,fourthree1six,four,4,9 4,11704
nineptjfjfourthree1six,13,three1six,three,3,9 4 3,11704
nineptjfjfourthree1six,18,1six,1,1,9 4 3 1,11704
nineptjfjfourthree1six,19,six,six,6,9 4 3 1 6,11704
jvlmgcpxgckgzjpczfvjkthree2,21,three2,three,3,3,11800
jvlmgcpxgckgzjpczfvjkthree2,26,2,2,2,3 2,11800
twotwoeighteighttwo7,0,twotwoeighteighttwo7,two,2,2,11832
twotwoeighteighttwo7,3,twoeighteighttwo7,two,2,2 2,11832
twotwoeighteighttwo7,6,eighteighttwo7,eight,8,2 2 8,11832
twotwoeighteighttwo7,11,eighttwo7,eight,8,2 2 8 8,11832
twotwoeighteighttwo7,16,two7,two,2,2 2 8 8 2,11832
twotwoeighteighttwo7,19,7,7,7,2 2 8 8 2 7,11832
cbpf5threedsvlvxfcx3fourone9six,4,5threedsvlvxfcx3fourone9six,5,5,5,11859
cbpf5threedsvlvxfcx3fourone9six,5,threedsvlvxfcx3fourone9six,three,3,5 3,11859
cbpf5threedsvlvxfcx3fourone9six,19,3fourone9six,3,3,5 3 3,11859
cbpf5threedsvlvxfcx3fourone9six,20,fourone9six,four,4,5 3 3 4,11859
cbpf5threedsvlvxfcx3fourone9six,24,one9six,one,1,5 3 3 4 1,11859
cbpf5threedsvlvxfcx3fourone9six,27,9six,9,9,5 3 3 4 1 9,11859
cbpf5threedsvlvxfcx3fourone9six,28,six,six,6,5 3 3 4 1 9 6,11859
17seven62sixjklrjqphfcbvmnscttwo,0,17seven62sixjklrjqphfcbvmnscttwo,1,1,1,11915
17seven62sixjklrjqphfcbvmnscttwo,1,7seven62sixjklrjqphfcbvmnscttwo,7,7,1 7,11915
17seven62sixjklrjqphfcbvmnscttwo,2,seven62sixjklrjqphfcbvmnscttwo,seven,7,1 7 7,11915
17seven62sixjklrjqphfcbvmnscttwo,7,62sixjklrjqphfcbvmnscttwo,6,6,1 7 7 6,11915
17seven62sixjklrjqphfcbvmnscttwo,8,2sixjklrjqphfcbvmnscttwo,2,2,1 7 7 6 2,11915
17seven62sixjklrjqphfcbvmnscttwo,9,sixjklrjqphfcbvmnscttwo,six,6,1 7 7 6 2 6,11915
17seven62sixjklrjqphfcbvmnscttwo,29,two,two,2,1 7 7 6 2 6 2,11915
jsix75qcrrcjthz5jnmxqsfoursix,1,six75qcrrcjthz5jnmxqsfoursix,six,6,6,11927
jsix75qcrrcjthz5jnmxqsfoursix,4,75qcrrcjthz5jnmxqsfoursix,7,7,6 7,11927
jsix75qcrrcjthz5jnmxqsfoursix,5,5qcrrcjthz5jnmxqsfoursix,5,5,6 7 5,11927
jsix75qcrrcjthz5jnmxqsfoursix,15,5jnmxqsfoursix,5,5,6 7 5 5,11927
jsix75qcrrcjthz5jnmxqsfoursix,22,foursix,four,4,6 7 5 5 4,11927
jsix75qcrrcjthz5jnmxqsfoursix,26,six,six,6,6 7 5 5 4 6,11927
sevensrkcschst2,0,sevensrkcschst2,seven,7,7,11993
sevensrkcschst2,14,2,2,2,7 2,11993
two7nine888fourthreenine,0,two7nine888fourthreenine,two,2,2,12065
two7nine888fourthreenine,3,7nine888fourthreenine,7,7,2 7,12065
two7nine888fourthreenine,4,nine888fourthreenine,nine,9,2 7 9,12065
two7nine888fourthreenine,8,888fourthreenine,8,8,2 7 9 8,12065
two7nine888fourthreenine,9,88fourthreenine,8,8,2 7 9 8 8,12065
two7nine888fourthreenine,10,8fourthreenine,8,8,2 7 9 8 8 8,12065
two7nine888fourthreenine,11,fourthreenine,four,4,2 7 9 8 8 8 4,12065
two7nine888fourthreenine,15,threenine,three,3,2 7 9 8 8 8 4 3,12065
two7nine888fourthreenine,20,nine,nine,9,2 7 9 8 8 8 4 3 9,12065
3threethreepnx5,0,3threethreepnx5,3,3,3,12094
3threethreepnx5,1,threethreepnx5,three,3,3 3,12094
3threethreepnx5,6,threepnx5,three,3,3 3 3,12094
3threethreepnx5,14,5,5,5,3 3 3 5,12094
sevensevenvlttfbxmjg1five,0,sevensevenvlttfbxmjg1five,seven,7,7,12129
sevensevenvlttfbxmjg1five,5,sevenvlttfbxmjg1five,seven,7,7 7,12129
sevensevenvlttfbxmjg1five,20,1five,1,1,7 7 1,12129
sevensevenvlttfbxmjg1five,21,five,five,5,7 7 1 5,12129
233eightmxbmdgdthgxgv,0,233eightmxbmdgdthgxgv,2,2,2,12204
233eightmxbmdgdthgxgv,1,33eightmxbmdgdthgxgv,3,3,2 3,12204
233eightmxbmdgdthgxgv,2,3eightmxbmdgdthgxgv,3,3,2 3 3,12204
233eightmxbmdgdthgxgv,3,eightmxbmdgdthgxgv,eight,8,2 3 3 8,12204
6three27one,0,6three27one,6,6,6,12232
6three27one,1,three27one,three,3,6 3,12232
6three27one,6,27one,2,2,6 3 2,12232
6three27one,7,7one,7,7,6 3 2 7,12232
6three27one,8,one,one,1,6 3 2 7 1,12232
fouronecqgspprhgt8rzshnskmn,0,fouronecqgspprhgt8rzshnskmn,four,4,4,12293
fouronecqgspprhgt8rzshnskmn,4,onecqgspprhgt8rzshnskmn,one,1,4 1,12293
fouronecqgspprhgt8rzshnskmn,17,8rzshnskmn,8,8,4 1 8,12293
364dclhtvrkptqlnmjkpkpjxtrfm1seven,0,364dclhtvrkptqlnmjkpkpjxtrfm1seven,3,3,3,12341
364dclhtvrkptqlnmjkpkpjxtrfm1seven,1,64dclhtvrkptqlnmjkpkpjxtrfm1seven,6,6,3 6,12341
364dclhtvrkptqlnmjkpkpjxtrfm1seven,2,4dclhtvrkptqlnmjkpkpjxtrfm1seven,4,4,3 6 4,12341
364dclhtvrkptqlnmjkpkpjxtrfm1seven,28,1seven,1,1,3 6 4 1,12341
364dclhtvrkptqlnmjkpkpjxtrfm1seven,29,seven,seven,7,3 6 4 1 7,12341
3cdf61fttxmkpbh63c,0,3cdf61fttxmkpbh63c,3,3,3,12378
3cdf61fttxmkpbh63c,4,61fttxmkpbh63c,6,6,3 6,12378
3cdf61fttxmkpbh63c,5,1fttxmkpbh63c,1,1,3 6 1,12378
3cdf61fttxmkpbh63c,15,63c,6,6,3 6 1 6,12378
3cdf61fttxmkpbh63c,16,3c,3,3,3 6 1 6 3,12378
eight1dpdmptdnineeightsixeight7rvzz,0,eight1dpdmptdnineeightsixeight7rvzz,eight,8,8,12411
eight1dpdmptdnineeightsixeight7rvzz,5,1dpdmptdnineeightsixeight7rvzz,1,1,8 1,12411
eight1dpdmptdnineeightsixeight7rvzz,13,nineeightsixeight7rvzz,nine,9,8 1 9,12411
eight1dpdmptdnineeightsixeight7rvzz,17,eightsixeight7rvzz,eight,8,8 1 9 8,12411
eight1dpdmptdnineeightsixeight7rvzz,22,sixeight7rvzz,six,6,8 1 9 8 6,12411
eight1dpdmptdnineeightsixeight7rvzz,25,eight7rvzz,eight,8,8 1 9 8 6 8,12411
eight1dpdmptdnineeightsixeight7rvzz,30,7rvzz,7,7,8 1 9 8 6 8 7,12411
four8sixsixfourldrxfszpnlcmkjxnsrqrone,0,four8sixsixfourldrxfszpnlcmkjxnsrqrone,four,4,4,12498
four8sixsixfourldrxfszpnlcmkjxnsrqrone,4,8sixsixfourldrxfszpnlcmkjxnsrqrone,8,8,4 8,12498
four8sixsixfourldrxfszpnlcmkjxnsrqrone,5,sixsixfourldrxfszpnlcmkjxnsrqrone,six,6,4 8 6,12498
four8sixsixfourldrxfszpnlcmkjxnsrqrone,8,sixfourldrxfszpnlcmkjxnsrqrone,six,6,4 8 6 6,12498
four8sixsixfourldrxfszpnlcmkjxnsrqrone,11,fourldrxfszpnlcmkjxnsrqrone,four,4,4 8 6 6 4,12498
four8sixsixfourldrxfszpnlcmkjxnsrqrone,35,one,one,1,4 8 6 6 4 1,12498
krhgrd2ninesixxftmtq2sevenmkld3,6,2ninesixxftmtq2sevenmkld3,2,2,2,12539
krhgrd2ninesixxftmtq2sevenmkld3,7,ninesixxftmtq2sevenmkld3,nine,9,2 9,12539
krhgrd2ninesixxftmtq2sevenmkld3,11,sixxftmtq2sevenmkld3,six,6,2 9 6,12539
krhgrd2ninesixxftmtq2sevenmkld3,20,2sevenmkld3,2,2,2 9 6 2,12539
krhgrd2ninesixxftmtq2sevenmkld3,21,sevenmkld3,seven,7,2 9 6 2 7,12539
krhgrd2ninesixxftmtq2sevenmkld3,30,3,3,3,2 9 6 2 7 3,12539
79onesix,0,79onesix,7,7,7,12562
79onesix,1,9onesix,9,9,7 9,12562
79onesix,2,onesix,one,1,7 9 1,12562
79onesix,5,six,six,6,7 9 1 6,12562
twozjgx1qdznxdgzpzghqf,0,twozjgx1qdznxdgzpzghqf,two,2,2,12638
twozjgx1qdznxdgzpzghqf,7,1qdznxdgzpzghqf,1,1,2 1,12638
rvpfz675fpzvmskq6,5,675fpzvmskq6,6,6,6,12659
rvpfz675fpzvmskq6,6,75fpzvmskq6,7,7,6 7,12659
rvpfz675fpzvmskq6,7,5fpzvmskq6,5,5,6 7 5,12659
rvpfz675fpzvmskq6,16,6,6,6,6 7 5 6,12659
dnnnfxcrxhninefourjgdkprtqbv63,10,ninefourjgdkprtqbv63,nine,9,9,12725
dnnnfxcrxhninefourjgdkprtqbv63,14,fourjgdkprtqbv63,four,4,9 4,12725
dnnnfxcrxhninefourjgdkprtqbv63,28,63,6,6,9 4 6,12725
dnnnfxcrxhninefourjgdkprtqbv63,29,3,3,3,9 4 6 3,12725
rhndq8zvftnvqm8,5,8zvftnvqm8,8,8,8,12818
rhndq8zvftnvqm8,14,8,8,8,8 8,12818
5onetvnhptcqlm9z1,0,5onetvnhptcqlm9z1,5,5,5,12906
5onetvnhptcqlm9z1,1,onetvnhptcqlm9z1,one,1,5 1,12906
5onetvnhptcqlm9z1,14,9z1,9,9,5 1 9,12906
5onetvnhptcqlm9z1,16,1,1,1,5 1 9 1,12906
49nineqgsjrz,0,49nineqgsjrz,4,4,4,12957
49nineqgsjrz,1,9nineqgsjrz,9,9,4 9,12957
49nineqgsjrz,2,nineqgsjrz,nine,9,4 9 9,12957
28kbcjbkmrvqninetmmqdjjhxoneprtkhdsllc,0,28kbcjbkmrvqninetmmqdjjhxoneprtkhdsllc,2,2,2,13006
28kbcjbkmrvqninetmmqdjjhxoneprtkhdsllc,1,8kbcjbkmrvqninetmmqdjjhxoneprtkhdsllc,8,8,2 8,13006
28kbcjbkmrvqninetmmqdjjhxoneprtkhdsllc,12,ninetmmqdjjhxoneprtkhdsllc,nine,9,2 8 9,13006
28kbcjbkmrvqninetmmqdjjhxoneprtkhdsllc,25,oneprtkhdsllc,one,1,2 8 9 1,13006
threesixonenine9,0,threesixonenine9,three,3,3,13027
threesixonenine9,5,sixonenine9,six,6,3 6,13027
threesixonenine9,8,onenine9,one,1,3 6 1,13027
threesixonenine9,11,nine9,nine,9,3 6 1 9,13027
threesixonenine9,15,9,9,9,3 6 1 9 9,13027
threevthxddrxzqbcninepmfczcppskbj7,0,threevthxddrxzqbcninepmfczcppskbj7,three,3,3,13066
threevthxddrxzqbcninepmfczcppskbj7,17,ninepmfczcppskbj7,nine,9,3 9,13066
threevthxddrxzqbcninepmfczcppskbj7,33,7,7,7,3 9 7,13066
blnxkpbbgndjdsx6,15,6,6,6,6,13103
vloneightninesixsixchp3eightnine9,2,oneightninesixsixchp3eightnine9,one,1,1,13169
vloneightninesixsixchp3eightnine9,9,ninesixsixchp3eightnine9,nine,9,1 9,13169
vloneightninesixsixchp3eightnine9,13,sixsixchp3eightnine9,six,6,1 9 6,13169
vloneightninesixsixchp3eightnine9,16,sixchp3eightnine9,six,6,1 9 6 6,13169
vloneightninesixsixchp3eightnine9,22,3eightnine9,3,3,1 9 6 6 3,13169
vloneightninesixsixchp3eightnine9,23,eightnine9,eight,8,1 9 6 6 3 8,13169
vloneightninesixsixchp3eightnine9,28,nine9,nine,9,1 9 6 6 3 8 9,13169
vloneightninesixsixchp3eightnine9,32,9,9,9,1 9 6 6 3 8 9 9,13169
srgcvgghjjsixgsnqmlfive672svfb,10,sixgsnqmlfive672svfb,six,6,6,13188
srgcvgghjjsixgsnqmlfive672svfb,19,five672svfb,five,5,6 5,13188
srgcvgghjjsixgsnqmlfive672svfb,23,672svfb,6,6,6 5 6,13188
srgcvgghjjsixgsnqmlfive672svfb,24,72svfb,7,7,6 5 6 7,13188
srgcvgghjjsixgsnqmlfive672svfb,25,2svfb,2,2,6 5 6 7 2,13188
glkzvd84,6,84,8,8,8,13250
glkzvd84,7,4,4,4,8 4,13250
vr7two24threethree,2,7two24threethree,7,7,7,13334
vr7two24threethree,3,two24threethree,two,2,7 2,13334
vr7two24threethree,6,24threethree,2,2,7 2 2,13334
vr7two24threethree,7,4threethree,4,4,7 2 2 4,13334
vr7two24threethree,8,threethree,three,3,7 2 2 4 3,13334
vr7two24threethree,13,three,three,3,7 2 2 4 3 3,13334
xlfdr1fivelfxvnjpz,5,1fivelfxvnjpz,1,1,1,13407
xlfdr1fivelfxvnjpz,6,fivelfxvnjpz,five,5,1 5,13407
3frsxgsmzrh7,0,3frsxgsmzrh7,3,3,3,13422
3frsxgsmzrh7,11,7,7,7,3 7,13422
4one6hrtnb3,0,4one6hrtnb3,4,4,4,13459
4one6hrtnb3,1,one6hrtnb3,one,1,4 1,13459
4one6hrtnb3,4,6hrtnb3,6,6,4 1 6,13459
4one6hrtnb3,10,3,3,3,4 1 6 3,13459
eight44fivesevenrhsxbfbntseven,0,eight44fivesevenrhsxbfbntseven,eight,8,8,13502
eight44fivesevenrhsxbfbntseven,5,44fivesevenrhsxbfbntseven,4,4,8 4,13502
eight44fivesevenrhsxbfbntseven,6,4fivesevenrhsxbfbntseven,4,4,8 4 4,13502
eight44fivesevenrhsxbfbntseven,7,fivesevenrhsxbfbntseven,five,5,8 4 4 5,13502
eight44fivesevenrhsxbfbntseven,11,sevenrhsxbfbntseven,seven,7,8 4 4 5 7,13502
eight44fivesevenrhsxbfbntseven,25,seven,seven,7,8 4 4 5 7 7,13502
9two9cfffqd,0,9two9cfffqd,9,9,9,13589
9two9cfffqd,1,two9cfffqd,two,2,9 2,13589
9two9cfffqd,4,9cfffqd,9,9,9 2 9,13589
pbqp3ninegqgxvpkdtjnqsb3zshhlxsrkrvjm,4,3ninegqgxvpkdtjnqsb3zshhlxsrkrvjm,3,3,3,13688
pbqp3ninegqgxvpkdtjnqsb3zshhlxsrkrvjm,5,ninegqgxvpkdtjnqsb3zshhlxsrkrvjm,nine,9,3 9,13688
pbqp3ninegqgxvpkdtjnqsb3zshhlxsrkrvjm,23,3zshhlxsrkrvjm,3,3,3 9 3,13688
7seventwothreecgbbvqftwo,0,7seventwothreecgbbvqftwo,7,7,7,13721
7seventwothreecgbbvqftwo,1,seventwothreecgbbvqftwo,seven,7,7 7,13721
7seventwothreecgbbvqftwo,6,twothreecgbbvqftwo,two,2,7 7 2,13721
7seventwothreecgbbvqftwo,9,threecgbbvqftwo,three,3,7 7 2 3,13721
7seventwothreecgbbvqftwo,21,two,two,2,7 7 2 3 2,13721
3h,0,3h,3,3,3,13793
7bgfrqgmqsix2nine5xgbr,0,7bgfrqgmqsix2nine5xgbr,7,7,7,13826
7bgfrqgmqsix2nine5xgbr,9,six2nine5xgbr,six,6,7 6,13826
7bgfrqgmqsix2nine5xgbr,12,2nine5xgbr,2,2,7 6 2,13826
7bgfrqgmqsix2nine5xgbr,13,nine5xgbr,nine,9,7 6 2 9,13826
7bgfrqgmqsix2nine5xgbr,17,5xgbr,5,5,7 6 2 9 5,13826
zdkqfshrthree4nrttmzjb2one,8,three4nrttmzjb2one,three,3,3,13901
zdkqfshrthree4nrttmzjb2one,13,4nrttmzjb2one,4,4,3 4,13901
zdkqfshrthree4nrttmzjb2one,22,2one,2,2,3 4 2,13901
zdkqfshrthree4nrttmzjb2one,23,one,one,1,3 4 2 1,13901
one15,0,one15,one,1,1,13932
one15,3,15,1,1,1 1,13932
one15,4,5,5,5,1 1 5,13932
2sixdx4,0,2sixdx4,2,2,2,13947
2sixdx4,1,sixdx4,six,6,2 6,13947
2sixdx4,6,4,4,4,2 6 4,13947
128ninenzcfmbgq3sckqrcnkvgthreektk,0,128ninenzcfmbgq3sckqrcnkvgthreektk,1,1,1,13971
128ninenzcfmbgq3sckqrcnkvgthreektk,1,28ninenzcfmbgq3sckqrcnkvgthreektk,2,2,1 2,13971
128ninenzcfmbgq3sckqrcnkvgthreektk,2,8ninenzcfmbgq3sckqrcnkvgthreektk,8,8,1 2 8,13971
128ninenzcfmbgq3sckqrcnkvgthreektk,3,ninenzcfmbgq3sckqrcnkvgthreektk,nine,9,1 2 8 9,13971
128ninenzcfmbgq3sckqrcnkvgthreektk,15,3sckqrcnkvgthreektk,3,3,1 2 8 9 3,13971
128ninenzcfmbgq3sckqrcnkvgthreektk,26,threektk,three,3,1 2 8 9 3 3,13971
seven2zqgrjjsq1four8sixeight9,0,seven2zqgrjjsq1four8sixeight9,seven,7,7,13984
seven2zqgrjjsq1four8sixeight9,5,2zqgrjjsq1four8sixeight9,2,2,7 2,13984
seven2zqgrjjsq1four8sixeight9,14,1four8sixeight9,1,1,7 2 1,13984
seven2zqgrjjsq1four8sixeight9,15,four8sixeight9,four,4,7 2 1 4,13984
seven2zqgrjjsq1four8sixeight9,19,8sixeight9,8,8,7 2 1 4 8,13984
seven2zqgrjjsq1four8sixeight9,20,sixeight9,six,6,7 2 1 4 8 6,13984
seven2zqgrjjsq1four8sixeight9,23,eight9,eight,8,7 2 1 4 8 6 8,13984
seven2zqgrjjsq1four8sixeight9,28,9,9,9,7 2 1 4 8 6 8 9,13984
4four11two9dszblknpzgrcxbsmp,0,4four11two9dszblknpzgrcxbsmp,4,4,4,14063
4four11two9dszblknpzgrcxbsmp,1,four11two9dszblknpzgrcxbsmp,four,4,4 4,14063
4four11two9dszblknpzgrcxbsmp,5,11two9dszblknpzgrcxbsmp,1,1,4 4 1,14063
4four11two9dszblknpzgrcxbsmp,6,1two9dszblknpzgrcxbsmp,1,1,4 4 1 1,14063
4four11two9dszblknpzgrcxbsmp,7,two9dszblknpzgrcxbsmp,two,2,4 4 1 1 2,14063
4four11two9dszblknpzgrcxbsmp,10,9dszblknpzgrcxbsmp,9,9,4 4 1 1 2 9,14063
hcxcxjpndpeightfourf82three,10,eightfourf82three,eight,8,8,14112
hcxcxjpndpeightfourf82three,15,fourf82three,four,4,8 4,14112
hcxcxjpndpeightfourf82three,20,82three,8,8,8 4 8,14112
hcxcxjpndpeightfourf82three,21,2three,2,2,8 4 8 2,14112
hcxcxjpndpeightfourf82three,22,three,three,3,8 4 8 2 3,14112
sevenrpsevenxzcrp18five,0,sevenrpsevenxzcrp18five,seven,7,7,14195
sevenrpsevenxzcrp18five,7,sevenxzcrp18five,seven,7,7 7,14195
sevenrpsevenxzcrp18five,17,18five,1,1,7 7 1,14195
sevenrpsevenxzcrp18five,18,8five,8,8,7 7 1 8,14195
sevenrpsevenxzcrp18five,19,five,five,5,7 7 1 8 5,14195
rcklcnqxgbtszdxseven6,15,seven6,seven,7,7,14270
rcklcnqxgbtszdxseven6,20,6,6,6,7 6,14270
znbkksfjtltngpdgsz2grsixxszeight3,18,2grsixxszeight3,2,2,2,14346
znbkksfjtltngpdgsz2grsixxszeight3,21,sixxszeight3,six,6,2 6,14346
znbkksfjtltngpdgsz2grsixxszeight3,27,eight3,eight,8,2 6 8,14346
znbkksfjtltngpdgsz2grsixxszeight3,32,3,3,3,2 6 8 3,14346
59cvcvfourvcvvshxone4bqnmdpr,0,59cvcvfourvcvvshxone4bqnmdpr,5,5,5,14369
59cvcvfourvcvvshxone4bqnmdpr,1,9cvcvfourvcvvshxone4bqnmdpr,9,9,5 9,14369
59cvcvfourvcvvshxone4bqnmdpr,6,fourvcvvshxone4bqnmdpr,four,4,5 9 4,14369
59cvcvfourvcvvshxone4bqnmdpr,17,one4bqnmdpr,one,1,5 9 4 1,14369
59cvcvfourvcvvshxone4bqnmdpr,20,4bqnmdpr,4,4,5 9 4 1 4,14369
sevenseven7,0,sevenseven7,seven,7,7,14423
sevenseven7,5,seven7,seven,7,7 7,14423
sevenseven7,10,7,7,7,7 7 7,14423
2sixone9gkzkxone58mpvpsj,0,2sixone9gkzkxone58mpvpsj,2,2,2,14500
2sixone9gkzkxone58mpvpsj,1,sixone9gkzkxone58mpvpsj,six,6,2 6,14500
2sixone9gkzkxone58mpvpsj,4,one9gkzkxone58mpvpsj,one,1,2 6 1,14500
2sixone9gkzkxone58mpvpsj,7,9gkzkxone58mpvpsj,9,9,2 6 1 9,14500
2sixone9gkzkxone58mpvpsj,13,one58mpvpsj,one,1,2 6 1 9 1,14500
2sixone9gkzkxone58mpvpsj,16,58mpvpsj,5,5,2 6 1 9 1 5,14500
2sixone9gkzkxone58mpvpsj,17,8mpvpsj,8,8,2 6 1 9 1 5 8,14500
2bhhzpkjvtbpqf7mkrskcqfourdbqfkkxzqbk,0,2bhhzpkjvtbpqf7mkrskcqfourdbqfkkxzqbk,2,2,2,14528
2bhhzpkjvtbpqf7mkrskcqfourdbqfkkxzqbk,14,7mkrskcqfourdbqfkkxzqbk,7,7,2 7,14528
2bhhzpkjvtbpqf7mkrskcqfourdbqfkkxzqbk,22,fourdbqfkkxzqbk,four,4,2 7 4,14528
three6fourtrqpjxzgfones8,0,three6fourtrqpjxzgfones8,three,3,3,14552
three6fourtrqpjxzgfones8,5,6fourtrqpjxzgfones8,6,6,3 6,14552
three6fourtrqpjxzgfones8,6,fourtrqpjxzgfones8,four,4,3 6 4,14552
three6fourtrqpjxzgfones8,19,ones8,one,1,3 6 4 1,14552
three6fourtrqpjxzgfones8,23,8,8,8,3 6 4 1 8,14552
oneeightfive19seveneight8,0,oneeightfive19seveneight8,one,1,1,14590
oneeightfive19seveneight8,3,eightfive19seveneight8,eight,8,1 8,14590
oneeightfive19seveneight8,8,five19seveneight8,five,5,1 8 5,14590
oneeightfive19seveneight8,12,19seveneight8,1,1,1 8 5 1,14590
oneeightfive19seveneight8,13,9seveneight8,9,9,1 8 5 1 9,14590
oneeightfive19seveneight8,14,seveneight8,seven,7,1 8 5 1 9 7,14590
oneeightfive19seveneight8,19,eight8,eight,8,1 8 5 1 9 7 8,14590
oneeightfive19seveneight8,24,8,8,8,1 8 5 1 9 7 8 8,14590
hhjsqdqhsqdvkmnqeight26scjgksix,16,eight26scjgksix,eight,8,8,14608
hhjsqdqhsqdvkmnqeight26scjgksix,21,26scjgksix,2,2,8 2,14608
hhjsqdqhsqdvkmnqeight26scjgksix,22,6scjgksix,6,6,8 2 6,14608
hhjsqdqhsqdvkmnqeight26scjgksix,28,six,six,6,8 2 6 6,14608
sixfourfivetkmvpdvdkfhvfourthree8,0,sixfourfivetkmvpdvdkfhvfourthree8,six,6,6,14694
sixfourfivetkmvpdvdkfhvfourthree8,3,fourfivetkmvpdvdkfhvfourthree8,four,4,6 4,14694
sixfourfivetkmvpdvdkfhvfourthree8,7,fivetkmvpdvdkfhvfourthree8,five,5,6 4 5,14694
sixfourfivetkmvpdvdkfhvfourthree8,23,fourthree8,four,4,6 4 5 4,14694
sixfourfivetkmvpdvdkfhvfourthree8,27,three8,three,3,6 4 5 4 3,14694
sixfourfivetkmvpdvdkfhvfourthree8,32,8,8,8,6 4 5 4 3 8,14694
6264fivendcxsmjdninetwo,0,6264fivendcxsmjdninetwo,6,6,6,14762
6264fivendcxsmjdninetwo,1,264fivendcxsmjdninetwo,2,2,6 2,14762
